URI,ASN,IP Prefix,Max Length,Not Before,Not After
rsync://rpki.apnic.net/member_repository/A91872ED/ED8C96901D6C11E28A38A3AD08B02CD2/797B4DEC293B11E8B187196DC4F9AE02.roa,AS13335,1.1.1.0/24,24,2021-02-11 14:20:11,2031-03-31 00:00:00
rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/23ddb57b-8888-40f4-bf17-518b6a50512d/64b091d0-b0f5-3563-897f-355018f96c7c.roa,AS15169,8.8.8.0/24,24,2019-01-10 05:00:00,2028-01-10 05:00:00
